0,A
555,C
959,B
1388,C
1904,B
2381,A
2774,B
3362,A
3863,A
4473,C
5069,C
5631,A
6184,C
6846,C
7313,C
7834,A
8269,C
8698,B
9105,A
9560,A
10101,C
10675,C
11230,B
11741,A
12509,B
12970,B
13565,A
14114,C
14723,C
15304,A
15663,A
16259,A
16852,A
17523,C
17885,A
18346,C
18835,B
19151,A
19826,B
20280,B
20881,B
21557,B
22121,A
22702,C
23189,B
23688,B
24163,A
24662,A
25282,C
25786,A
26260,B
26726,C
27280,A
27720,C
28206,A
28611,B
29180,C
29797,A
30307,C
30611,C
31093,B
31698,C
32066,B
32673,A
33105,C
33556,A
34093,B
34593,C
35026,B
35642,B
36179,B
36747,C
37325,B
37754,B
38238,B
38617,C
39113,A
39526,A
40025,A
40547,A
41095,C
41477,B
41894,B
42463,C
43125,A
43515,C
43956,B
44332,A
44916,A
45548,A
46025,A
46541,A
47143,A
47544,C
47968,A
48293,A
48815,B
49359,C
49790,A
50269,C
50768,A
51276,C
51680,A
52241,C
52724,C
53138,A
53630,B
53921,B
54552,C
55063,A
55569,B
56083,B
56573,A
56881,A
57496,C
58041,B
58578,B
59082,B
59711,C
60252,B
60763,B
61095,C
61625,C
62271,C
62744,C
63315,B
63973,C
64376,C
64933,B
65553,C
66004,B
66538,B
66906,C
67433,B
67939,A
68506,A
69022,C
69422,C
69899,B
70298,C
70710,B
71096,C
71606,C
72344,A
72807,A
73325,C
73973,A
74454,B
74927,B
75385,A
76006,A
76547,C
77023,C
77534,B
77947,A
78593,A
79335,A
79811,B
80263,A
80745,C
81231,B
81437,A
81892,A
82568,B
82971,B
83542,B
84128,B
84643,A
85160,C
85672,C
86226,C
86532,A
86997,B
87262,A
87693,B
88092,C
88689,A
89332,C
89806,A
90307,C
90584,B
91025,B
91331,A
91826,C
92407,A
92891,B
93501,A
93917,B
94663,C
95132,C
95742,A
96283,B
96702,A
97384,A
97745,B
98366,B
98823,C
99407,C
99876,A
