2024-11-12 15:14:16,647 INFO    MainThread:3585077 [wandb_setup.py:_flush():79] Current SDK version is 0.18.6
2024-11-12 15:14:16,648 INFO    MainThread:3585077 [wandb_setup.py:_flush():79] Configure stats pid to 3585077
2024-11-12 15:14:16,648 INFO    MainThread:3585077 [wandb_setup.py:_flush():79] Loading settings from /n/home10/ccheung/.config/wandb/settings
2024-11-12 15:14:16,648 INFO    MainThread:3585077 [wandb_setup.py:_flush():79] Loading settings from /n/home10/ccheung/Transformers_for_Modeling_Decision_Sequences/transformer/wandb/settings
2024-11-12 15:14:16,648 INFO    MainThread:3585077 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-11-12 15:14:16,648 INFO    MainThread:3585077 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-12 15:14:16,648 INFO    MainThread:3585077 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'transformer/train.py', 'program_abspath': '/n/home10/ccheung/Transformers_for_Modeling_Decision_Sequences/transformer/train.py', 'program': '/n/home10/ccheung/Transformers_for_Modeling_Decision_Sequences/transformer/train.py'}
2024-11-12 15:14:16,648 INFO    MainThread:3585077 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-12 15:14:16,648 INFO    MainThread:3585077 [wandb_init.py:_log_setup():533] Logging user logs to /n/home10/ccheung/Transformers_for_Modeling_Decision_Sequences/transformer/wandb/run-20241112_151416-46qlkgs1/logs/debug.log
2024-11-12 15:14:16,648 INFO    MainThread:3585077 [wandb_init.py:_log_setup():534] Logging internal logs to /n/home10/ccheung/Transformers_for_Modeling_Decision_Sequences/transformer/wandb/run-20241112_151416-46qlkgs1/logs/debug-internal.log
2024-11-12 15:14:16,648 INFO    MainThread:3585077 [wandb_init.py:init():619] calling init triggers
2024-11-12 15:14:16,648 INFO    MainThread:3585077 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {'run_number': 2, 'total_batch_size': 6144, 'max_lr': 0.0006, 'min_lr': 5.9999999999999995e-05, 'warmup_steps': 1000, 'max_steps': 146.484375, 'B': 256, 'T': 12, 'grad_accum_steps': 2, 'vocab_size': 4, 'n_layer': 2, 'n_head': 2, 'n_embd': 64, 'learning_rate': 0.0006, 'task_id': None}
2024-11-12 15:14:16,648 INFO    MainThread:3585077 [wandb_init.py:init():669] starting backend
2024-11-12 15:14:16,648 INFO    MainThread:3585077 [wandb_init.py:init():673] sending inform_init request
2024-11-12 15:14:16,650 INFO    MainThread:3585077 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-11-12 15:14:16,651 INFO    MainThread:3585077 [wandb_init.py:init():686] backend started and connected
2024-11-12 15:14:16,660 INFO    MainThread:3585077 [wandb_init.py:init():781] updated telemetry
2024-11-12 15:14:16,734 INFO    MainThread:3585077 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-11-12 15:14:17,464 INFO    MainThread:3585077 [wandb_init.py:init():867] starting run threads in backend
2024-11-12 15:14:19,197 INFO    MainThread:3585077 [wandb_run.py:_console_start():2451] atexit reg
2024-11-12 15:14:19,198 INFO    MainThread:3585077 [wandb_run.py:_redirect():2299] redirect: wrap_raw
2024-11-12 15:14:19,198 INFO    MainThread:3585077 [wandb_run.py:_redirect():2364] Wrapping output streams.
2024-11-12 15:14:19,198 INFO    MainThread:3585077 [wandb_run.py:_redirect():2389] Redirects installed.
2024-11-12 15:14:19,231 INFO    MainThread:3585077 [wandb_init.py:init():911] run started, returning control to user process
2024-11-12 15:14:19,231 INFO    MainThread:3585077 [wandb_watch.py:_watch():71] Watching
2024-11-12 15:14:19,239 WARNING MsgRouterThr:3585077 [router.py:message_loop():75] message_loop has been closed
